sex,athlete,id,class,grit
M,N,89,plebe,4.5
M,N,89,yearling,3.66666666666667
M,N,90,nct,3.71428571428571
M,N,90,plebe,3.66666666666667
M,N,90,yearling,3.83333333333333
M,N,91,nct,3.625
M,N,91,plebe,4
M,N,91,yearling,4.33333333333333
M,N,92,nct,3.25
M,N,92,plebe,3.33333333333333
M,N,92,yearling,4.16666666666667
M,N,93,nct,4.125
M,N,93,plebe,4
M,N,93,yearling,4.5
M,N,94,nct,3.375
M,N,94,plebe,4
M,N,94,yearling,4
M,N,95,nct,3.625
M,N,95,plebe,2.83333333333333
M,N,95,yearling,4
M,N,96,nct,4
M,N,96,plebe,3.66666666666667
M,N,96,yearling,4.5
M,N,97,nct,4.25
M,N,97,plebe,4.83333333333333
M,N,97,yearling,3
M,N,98,nct,4.875
M,N,98,plebe,4.5
M,N,98,yearling,4.33333333333333
M,N,99,nct,3.625
M,N,99,plebe,3.33333333333333
M,N,99,yearling,3.5
M,N,100,nct,3.375
M,N,100,plebe,4.16666666666667
M,N,100,yearling,3.33333333333333
M,N,101,nct,3.57142857142857
M,N,101,plebe,4.33333333333333
M,N,101,yearling,3
M,N,102,nct,4.25
M,N,102,plebe,3
M,N,102,yearling,4.33333333333333
M,N,103,nct,4.125
M,N,103,plebe,4.33333333333333
M,N,103,yearling,4.16666666666667
M,N,104,nct,3.875
M,N,104,plebe,4.16666666666667
M,N,104,yearling,3.66666666666667
M,N,105,nct,4.125
M,N,105,plebe,3.83333333333333
M,N,105,yearling,4.33333333333333
M,N,106,nct,3.625
M,N,106,plebe,4
M,N,106,yearling,4.33333333333333
M,N,107,nct,3.25
M,N,107,plebe,3
M,N,107,yearling,3.16666666666667
M,N,108,nct,4
M,N,108,plebe,4.16666666666667
M,N,108,yearling,4.16666666666667
M,N,109,nct,4.5
M,N,109,plebe,4.83333333333333
M,N,109,yearling,4.66666666666667
M,N,110,nct,2.75
M,N,110,plebe,4
M,N,110,yearling,3.33333333333333
M,N,111,nct,3.25
M,N,111,plebe,2.66666666666667
M,N,111,yearling,2.5
M,N,112,nct,3.25
M,N,112,plebe,4.16666666666667
M,N,112,yearling,4.33333333333333
M,N,113,nct,3.875
M,N,113,plebe,3.5
M,N,113,yearling,4.83333333333333
